semana_mes,entradas,saidas,resultado
1-1,506538,457550,48988
2-1,651439,551230,100209
3-1,478298,335850,142448
4-1,270120,314280,-44160
5-1,288299,181040,107259
1-2,164654,217650,-52996
2-2,538576,640040,-101464
3-2,458802,337670,121132
4-2,479982,342270,137712
5-2,287759,228920,58839
1-3,151237,167910,-16673
2-3,480538,730240,-249702
3-3,410848,308060,102788
4-3,452100,262670,189430
5-3,400163,290290,109873
6-3,18710,12980,5730
1-4,436877,602230,-165353
2-4,708473,365200,343273
3-4,447142,232200,214942
4-4,194179,307450,-113271
5-4,184577,159550,25027
1-5,338927,352990,-14063
2-5,845389,683990,161399
3-5,573213,266690,306523
4-5,385104,279890,105214
5-5,347772,340990,6782
